self-test: enumeration reproduces PV-21 and the involution counts 1,2,4,10,26,76,232,764
length 17: sweeping self-dual permutations ending in 1 (= I(16) of them) in 27940 work units on 12 workers
  [20/27940] checked 661,176  1,578/s  elapsed 7.0m
  [40/27940] checked 903,496  2,156/s  elapsed 7.0m
  [60/27940] checked 1,119,616  2,672/s  elapsed 7.0m
  [80/27940] checked 1,361,936  3,250/s  elapsed 7.0m
  [100/27940] checked 1,604,256  3,570/s  elapsed 7.5m
  [120/27940] checked 1,820,376  3,753/s  elapsed 8.1m
  [140/27940] checked 2,062,696  3,616/s  elapsed 9.5m
  [160/27940] checked 2,305,016  3,808/s  elapsed 10.1m
  [180/27940] checked 2,521,136  3,841/s  elapsed 10.9m
  [200/27940] checked 2,594,164  3,952/s  elapsed 10.9m
  [220/27940] checked 2,660,316  4,053/s  elapsed 10.9m
  [240/27940] checked 2,726,468  4,153/s  elapsed 10.9m
  [260/27940] checked 2,792,620  4,218/s  elapsed 11.0m
  [280/27940] checked 2,851,896  4,278/s  elapsed 11.1m
  [300/27940] checked 2,918,048  4,136/s  elapsed 11.8m
  [320/27940] checked 3,051,656  4,172/s  elapsed 12.2m
  [340/27940] checked 3,152,188  4,283/s  elapsed 12.3m
  [360/27940] checked 3,218,340  4,220/s  elapsed 12.7m
  [380/27940] checked 3,277,616  4,298/s  elapsed 12.7m
  [400/27940] checked 3,343,768  4,280/s  elapsed 13.0m
  [420/27940] checked 3,409,920  4,302/s  elapsed 13.2m
  [440/27940] checked 3,476,072  4,288/s  elapsed 13.5m
  [460/27940] checked 3,582,176  4,033/s  elapsed 14.8m
  [480/27940] checked 3,703,336  4,170/s  elapsed 14.8m
  [500/27940] checked 3,769,488  4,244/s  elapsed 14.8m
  [520/27940] checked 3,835,640  4,319/s  elapsed 14.8m
  [540/27940] checked 3,901,792  4,378/s  elapsed 14.9m
  [560/27940] checked 3,967,944  4,403/s  elapsed 15.0m
  [580/27940] checked 4,034,096  4,396/s  elapsed 15.3m
  [600/27940] checked 4,093,372  4,354/s  elapsed 15.7m
  [620/27940] checked 4,261,360  4,209/s  elapsed 16.9m
  [640/27940] checked 4,327,512  4,274/s  elapsed 16.9m
  [660/27940] checked 4,393,664  4,339/s  elapsed 16.9m
  [680/27940] checked 4,459,816  4,405/s  elapsed 16.9m
  [700/27940] checked 4,519,092  4,463/s  elapsed 16.9m
  [720/27940] checked 4,585,244  4,441/s  elapsed 17.2m
  [740/27940] checked 4,651,396  4,505/s  elapsed 17.2m
  [760/27940] checked 4,819,384  4,275/s  elapsed 18.8m
  [780/27940] checked 4,885,536  4,333/s  elapsed 18.8m
  [800/27940] checked 4,944,812  4,386/s  elapsed 18.8m
  [820/27940] checked 5,010,964  4,445/s  elapsed 18.8m
  [840/27940] checked 5,077,116  4,464/s  elapsed 19.0m
  [860/27940] checked 5,143,268  4,498/s  elapsed 19.1m
  [880/27940] checked 5,209,420  4,508/s  elapsed 19.3m
  [900/27940] checked 5,363,656  4,460/s  elapsed 20.0m
  [920/27940] checked 5,436,684  4,521/s  elapsed 20.0m
  [940/27940] checked 5,502,836  4,576/s  elapsed 20.0m
  [960/27940] checked 5,568,988  4,591/s  elapsed 20.2m
  [980/27940] checked 5,635,140  4,594/s  elapsed 20.4m
  [1000/27940] checked 5,694,416  4,528/s  elapsed 21.0m
  [1020/27940] checked 5,760,568  4,580/s  elapsed 21.0m
  [1040/27940] checked 5,894,176  4,528/s  elapsed 21.7m
  [1060/27940] checked 5,994,708  4,605/s  elapsed 21.7m
  [1080/27940] checked 6,060,860  4,656/s  elapsed 21.7m
  [1100/27940] checked 6,120,136  4,699/s  elapsed 21.7m
  [1120/27940] checked 6,186,288  4,669/s  elapsed 22.1m
  [1140/27940] checked 6,252,440  4,676/s  elapsed 22.3m
  [1160/27940] checked 6,318,592  4,662/s  elapsed 22.6m
  [1180/27940] checked 6,424,696  4,502/s  elapsed 23.8m
  [1200/27940] checked 6,545,856  4,587/s  elapsed 23.8m
  [1220/27940] checked 6,612,008  4,633/s  elapsed 23.8m
  [1240/27940] checked 6,678,160  4,680/s  elapsed 23.8m
  [1260/27940] checked 6,744,312  4,726/s  elapsed 23.8m
  [1280/27940] checked 6,810,464  4,706/s  elapsed 24.1m
  [1300/27940] checked 6,876,616  4,713/s  elapsed 24.3m
  [1320/27940] checked 6,935,892  4,731/s  elapsed 24.4m
  [1340/27940] checked 7,103,880  4,658/s  elapsed 25.4m
  [1360/27940] checked 7,170,032  4,701/s  elapsed 25.4m
  [1380/27940] checked 7,236,184  4,738/s  elapsed 25.5m
  [1400/27940] checked 7,302,336  4,741/s  elapsed 25.7m
  [1420/27940] checked 7,361,612  4,751/s  elapsed 25.8m
  [1440/27940] checked 7,427,764  4,727/s  elapsed 26.2m
  [1460/27940] checked 7,493,916  4,743/s  elapsed 26.3m
  [1480/27940] checked 7,661,904  4,641/s  elapsed 27.5m
  [1500/27940] checked 7,728,056  4,681/s  elapsed 27.5m
  [1520/27940] checked 7,787,332  4,717/s  elapsed 27.5m
  [1540/27940] checked 7,853,484  4,749/s  elapsed 27.6m
  [1560/27940] checked 7,919,636  4,738/s  elapsed 27.9m
  [1580/27940] checked 7,985,788  4,704/s  elapsed 28.3m
  [1600/27940] checked 8,051,940  4,709/s  elapsed 28.5m
  [1620/27940] checked 8,206,176  4,619/s  elapsed 29.6m
  [1640/27940] checked 8,279,204  4,660/s  elapsed 29.6m
  [1660/27940] checked 8,345,356  4,697/s  elapsed 29.6m
  [1680/27940] checked 8,411,508  4,706/s  elapsed 29.8m
  [1700/27940] checked 8,477,660  4,710/s  elapsed 30.0m
  [1720/27940] checked 8,536,936  4,712/s  elapsed 30.2m
  [1740/27940] checked 8,603,088  4,710/s  elapsed 30.4m
  [1760/27940] checked 8,736,696  4,538/s  elapsed 32.1m
  [1780/27940] checked 8,837,228  4,590/s  elapsed 32.1m
  [1800/27940] checked 8,903,380  4,624/s  elapsed 32.1m
  [1820/27940] checked 8,962,656  4,655/s  elapsed 32.1m
  [1840/27940] checked 9,028,808  4,689/s  elapsed 32.1m
  [1860/27940] checked 9,094,960  4,661/s  elapsed 32.5m
  [1880/27940] checked 9,161,112  4,684/s  elapsed 32.6m
  [1900/27940] checked 9,267,216  4,506/s  elapsed 34.3m
  [1920/27940] checked 9,388,376  4,565/s  elapsed 34.3m
  [1940/27940] checked 9,454,528  4,597/s  elapsed 34.3m
  [1960/27940] checked 9,520,680  4,630/s  elapsed 34.3m
  [1980/27940] checked 9,586,832  4,643/s  elapsed 34.4m
  [2000/27940] checked 9,652,984  4,633/s  elapsed 34.7m
  [2020/27940] checked 9,719,136  4,637/s  elapsed 34.9m
  [2040/27940] checked 9,778,412  4,633/s  elapsed 35.2m
  [2060/27940] checked 9,946,400  4,542/s  elapsed 36.5m
  [2080/27940] checked 10,012,552  4,573/s  elapsed 36.5m
  [2100/27940] checked 10,078,704  4,603/s  elapsed 36.5m
  [2120/27940] checked 10,144,856  4,633/s  elapsed 36.5m
  [2140/27940] checked 10,204,132  4,645/s  elapsed 36.6m
  [2160/27940] checked 10,270,284  4,627/s  elapsed 37.0m
  [2180/27940] checked 10,336,436  4,623/s  elapsed 37.3m
  [2200/27940] checked 10,504,424  4,543/s  elapsed 38.5m
  [2220/27940] checked 10,570,576  4,572/s  elapsed 38.5m
